children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.011134258663619232,female,15
0.022308414249279138,female,16
0.0342369226146548,female,17
0.046919890754805245,female,18
0.06065050376443422,female,19
0.11225872845414164,female,20
0.16512721053889684,female,21
0.22104950482648178,female,22
0.2820215936571684,female,23
0.3453145152963588,female,24
0.45198474372602637,female,25
0.561095763634235,female,26
0.6739073922090132,female,27
0.7913591294882258,female,28
0.9112811397186908,female,29
1.0474659796897139,female,30
1.1806708359027887,female,31
1.3092659987823352,female,32
1.405568516295083,female,33
1.4969557423007138,female,34
1.538641011938102,female,35
1.5786865722947248,female,36
1.6157325745964146,female,37
1.6074048798057787,female,38
1.5957699236313343,female,39
1.5378625240438624,female,40
1.476285166066968,female,41
1.4127758336748126,female,42
1.3199221979835607,female,43
1.2234099403277396,female,44
1.109424571141233,female,45
0.9969195811233782,female,46
0.881386151330231,female,47
0.7665240900746263,female,48
0.6543851039119498,female,49
0.5428189865005767,female,50
0.4323529812708472,female,51
0.3242995185724617,female,52
0.2652769470319899,female,53
0.20889997768001345,female,54
0.15621952444563153,female,55
0.10507969661619532,female,56
0.05591731399229459,female,57
0.04426464705819324,female,58
0.03324304146692143,female,59
0.022708037961501643,female,60
0.01251180469407648,female,61
0.0029759154442273415,female,62
0.002285233893495469,female,63
0.0016372379447703667,female,64
0.0010287594785184499,female,65
5.090996515371698e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.018326052761444875,male,15
0.03704596792233313,male,16
0.05971753119522583,male,17
0.08309447700151587,male,18
0.10683452099649743,male,19
0.1409364894108775,male,20
0.17925013419297364,male,21
0.22026579060938603,male,22
0.263672128352741,male,23
0.31117018779312017,male,24
0.4003712006208794,male,25
0.4911075291571004,male,26
0.5822418294172653,male,27
0.6753446980037844,male,28
0.768618898371168,male,29
0.892256410502652,male,30
1.0119423543138868,male,31
1.1296295206514517,male,32
1.2061160045152877,male,33
1.2786756447125431,male,34
1.3254092753713105,male,35
1.3731275346771747,male,36
1.4185898453809012,male,37
1.4563873313809013,male,38
1.4923842823809013,male,39
1.4858337992492385,male,40
1.4763382995101715,male,41
1.4639427998732848,male,42
1.4142486878732847,male,43
1.3600552138732849,male,44
1.2813505342702025,male,45
1.1987596338808189,male,46
1.111070167931648,male,47
1.0059812199316478,male,48
0.9014928549316479,male,49
0.7902426429466942,male,50
0.6788503469256922,male,51
0.5690590811109038,male,52
0.49536757111090374,male,53
0.42547597311090374,male,54
0.3546796394485484,male,55
0.28628286689748306,male,56
0.21938659332277918,male,57
0.18888981732277918,male,58
0.15889319532277918,male,59
0.13034957629916225,male,60
0.10251144656670526,male,61
0.07639127825063265,male,62
0.0680720694468407,male,63
0.060131825678695336,male,64
0.05028997390347755,male,65
0.040973926648459655,male,66
0.03164289025369537,male,67
0.02751423369518784,male,68
0.02368044871400929,male,69
0.02007682637754855,male,70
0.016534917406526087,male,71
0.013417756239423949,male,72
0.012839281645918011,male,73
0.012341121327046034,male,74
0.011891111157479393,male,75
0.01157628704105692,male,76
0.011246217648369188,male,77
0.009073781604174602,male,78
0.0068471346723705,male,79
0.004587769565450997,male,80
0.002300056744584723,male,81
0,male,82
0,male,83
0,male,84
0,male,85
0,male,86
0,male,87
0,male,88
0,male,89
0,male,90
0,male,91
0,male,92
0,male,93
0,male,94
0,male,95
0,male,96
0,male,97
0,male,98
0,male,99
0,male,100
