age,gender,death_2018,nb_c,orphans
0-4,female,1352,0,0
0-4,male,1716,0,0
10-14,female,130,0,0
10-14,male,212,0,0
15-19,female,273,0.0184244319426709,5
15-19,male,640,0.003624751849036146,2
20-24,female,350,0.1669806084667668,58
20-24,male,1096,0.06279001084637129,69
25-29,female,496,0.6291256155995325,312
25-29,male,1227,0.35760256411795555,439
30-34,female,685,1.2941903605840452,887
30-34,male,1601,0.9358435385052045,1498
35-39,female,1107,1.7216868157030965,1906
35-39,male,2454,1.5144965213422428,3717
40-44,female,1915,1.5763633044199905,3019
40-44,male,3419,1.6666562011743993,5698
45-49,female,3318,0.9404677587641886,3120
45-49,male,6113,1.2745857460732628,7792
5-9,female,134,0,0
5-9,male,144,0,0
50-54,female,5204,0.35729624898621176,1859
50-54,male,9595,0.7000460431734719,6717
55-59,female,7776,0.0778024450939011,605
55-59,male,14507,0.2899191443500541,4206
60-64,female,10504,0.007999590681416655,84
60-64,male,20968,0.10458191654466963,2193
65-69,female,14490,2.658601012879602e-4,4
65-69,male,27830,0.03653164024452198,1017
70-74,female,17369,0,0
70-74,male,30413,0.01330079820818839,405
75-79,female,21262,0,0
75-79,male,31228,0.004534012621660852,142
80-84,female,38451,0,0
80-84,male,42920,9.161610495109089e-4,39
85-89,female,63330,0,0
85-89,male,50737,4.977480063419565e-4,25
90-94,female,67877,0,0
90-94,male,36020,4.977480063419565e-4,18
95+,female,43875,0,0
95+,male,13684,4.977480063419565e-4,7
