gender,country,mortality,total_orphans,total_deaths
Female,France,0.028515969648844185,11859,299898
Male,France,0.03495866374219672,33984,296524
Female,France,0.05847634092051411,11859,299898
Male,France,0.12014519056261343,33984,296524
Female,France,0.4483353010625738,11859,299898
Male,France,0.9240714919508177,33984,296524
Female,France,4.550875293268363,11859,299898
Male,France,5.212356979405034,33984,296524
Female,Colombia,0.08306973400431344,15279,102929
Male,Colombia,0.10286843009275164,49257,130250
Female,Colombia,0.08453131876191873,15279,102929
Male,Colombia,0.2080630764653377,49257,130250
Female,Colombia,0.500907590759076,15279,102929
Male,Colombia,0.7988185255198488,49257,130250
Female,Colombia,4.014001284521516,15279,102929
Male,Colombia,5.193931837073982,49257,130250
Female,England & Wales,0.02661069225496916,11671,265535
Male,England & Wales,0.03171928676590872,25710,265296
Female,England & Wales,0.05690206528980679,11671,265535
Male,England & Wales,0.09564585398083911,25710,265296
Female,England & Wales,0.4355365941593558,11671,265535
Male,England & Wales,0.6649096573208723,25710,265296
Female,England & Wales,4.371759074591145,11671,265535
Male,England & Wales,4.792205882352942,25710,265296
Female,Germany,0.029102844638949674,10905,441580
Male,Germany,0.034543586230518925,27297,459126
Female,Germany,0.05573635669388475,10905,441580
Male,Germany,0.09946329736680272,27297,459126
Female,Germany,0.5245181833417127,10905,441580
Male,Germany,0.9595912759745836,27297,459126
Female,Germany,4.904679376083189,10905,441580
Male,Germany,5.853538241601144,27297,459126
Female,Italy,0.02127551020408163,7534,292124
Male,Italy,0.026387887527036767,16223,290185
Female,Italy,0.047731926287604344,7534,292124
Male,Italy,0.08147319706903201,16223,290185
Female,Italy,0.3741206615420452,7534,292124
Male,Italy,0.6584903321764998,16223,290185
Female,Italy,4.369941298342542,7534,292124
Male,Italy,5.3159669811320756,16223,290185
Female,Malawi,0.38234280708634605,21819,48895
Male,Malawi,0.4502189712091224,85325,61881
Female,Malawi,0.3549613992072708,21819,48895
Male,Malawi,0.564568426264572,85325,61881
Female,Malawi,1.1922350387846148,21819,48895
Male,Malawi,1.9716259529312612,85325,61881
Female,Malawi,4.631067250867766,21819,48895
Male,Malawi,6.681659639933765,85325,61881
Female,Mexico,0.089816961561928,49899,297016
Male,Mexico,0.10738188401565148,134915,385316
Female,Mexico,0.10682830282038595,49899,297016
Male,Mexico,0.28759756097560973,134915,385316
Female,Mexico,0.8040810475007167,49899,297016
Male,Mexico,1.2593203778091413,134915,385316
Female,Mexico,5.04565625,49899,297016
Male,Mexico,6.14121568627451,134915,385316
Female,Peru,0.07917888563049853,10915,50554
Male,Peru,0.09495070930512142,23817,59919
Female,Peru,0.07477286135693216,10915,50554
Male,Peru,0.1328804347826087,23817,59919
Female,Peru,0.43785224676313783,10915,50554
Male,Peru,0.5878654385262315,23817,59919
Female,Peru,3.282739420935412,10915,50554
Male,Peru,3.942782152230971,23817,59919
Female,Poland,0.03466379000359583,5525,190175
Male,Poland,0.04154424325247694,22141,210838
Female,Poland,0.06896786646985352,5525,190175
Male,Poland,0.20842928524875082,22141,210838
Female,Poland,0.7513694694502968,5525,190175
Male,Poland,1.7338329764453961,22141,210838
Female,Poland,5.355712690733159,5525,190175
Male,Poland,6.994504792332268,22141,210838
Female,South Africa,0.1865533801256003,102428,209918
Male,South Africa,0.21812266538137123,211141,238082
Female,South Africa,0.41837531732083577,102428,209918
Male,South Africa,0.5983557742102538,211141,238082
Female,South Africa,1.507261569930964,102428,209918
Male,South Africa,2.3499400838825646,211141,238082
Female,South Africa,6.636734693877551,102428,209918
Male,South Africa,7.543010752688171,211141,238082
Female,Spain,0.021127185051235686,5855,185322
Male,Spain,0.02498583569405099,14197,205916
Female,Spain,0.046089866156787763,5855,185322
Male,Spain,0.08417627370769803,14197,205916
Female,Spain,0.354929346040092,5855,185322
Male,Spain,0.7825937981839985,14197,205916
Female,Spain,4.157660972404731,5855,185322
Male,Spain,5.422077922077921,14197,205916
Female,USA,0.0461813563287543,104862,1374354
Male,USA,0.05744748873045813,204162,1439020
Female,USA,0.1084174768967408,104862,1374354
Male,USA,0.20525495231107851,204162,1439020
Female,USA,0.7099166279553067,104862,1374354
Male,USA,1.1068243811660337,204162,1439020
Female,USA,5.03259896204335,104862,1374354
Male,USA,5.529572399094178,204162,1439020
